Molecular Formula,SMILES,XLogP,Molecular Weight,Hydrogen Bond Donors,Hydrogen Bond Acceptors,Element Count,Topological Polar Surface Area,Rotatable Bonds Count,Lipinski_Violations,Ghose_Violations,Veber_Violations,Lipinski_Pass,Ghose_Pass,Veber_Pass,Sweet_Spot_Pass,All_Rules_Pass
C3H6,C1CC1,1.707,42.04695,0,0,9,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C6H12,C1CCCCC1,3.414,84.0939,0,0,18,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C24H28ClN3,Cl.N(=C1C=CC(=C(c2ccc(N(C)C)cc2)c3ccc(N(C)C)cc3)C=C1)C,5.872,393.197176,0,3,56,18.84,9,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
CaH2O2,[Ca+2].[OH-].[OH-],-0.934,73.96807,0,2,5,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C33H60O10,O(c1ccc(CCCCCCCCC)cc1)CCOCCOCCOCCOCCOCCOCCOCCOCCO,4.592,616.418648,1,9,103,103.3,37,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
CHNaO4,[Na+].O=C(OO)[O-],-1.21,99.977253,1,4,7,69.59,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H12O,O(C(C)(C)C)C,1.32,88.088815,0,1,18,9.23,5,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C4H7O2,O=C([O-])CCC,0.261,87.044604,0,2,13,40.13,4,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C11H12O3,O1c2c(OC)cc(CC=C)cc2OC1,2.719,192.078644,0,0,26,27.69,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C5H8N3,N=1C(=C[N]C1)CCN,-0.979,110.071822,1,3,16,38.38,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H16N5O14P3,P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3[nH]c(nc(c3nc2)=O)N)[C@@H]([C@@H]1O)O)O)(OP(=O)(O)O)O,-4.275,522.99066,8,16,48,328.53,15,3,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C10H15N5O11P2,P(=O)(OP(=O)(O)O)(OCC1OC(n2c3[nH]c(nc(c3nc2)=O)N)C(C1O)O)O,-3.046,443.02433,7,13,43,272.19,12,2,1,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C6H12N4,N12CN3CN(C1)CN(C2)C3,-0.186,140.106196,0,4,22,12.96,0,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C20H30O2,O=C(O)[C@]1([C@H]2[C@@]([C@@H]3C(C=C(C(C)C)CC3)=CC2)(CCC1)C)C,6.113,302.22458,1,2,52,37.3,7,1,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H11NO3,O=[N+](OCCCCC)[O-],2.372,133.073893,0,0,20,52.37,7,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
CH5NO3,O=C(O)[O-].[NH4+],-0.711,79.026943,2,3,10,60.36,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C29H53NO5,O=C1O[C@@H](C[C@@H](OC(=O)[C@@H](NC=O)CC(C)C)CCCCCCCCCCC)[C@@H]1CCCCCC,10.261,495.392374,1,6,88,81.7,27,1,3,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C8H7N3O2,O=c1[nH][nH]c(=O)c2c1c(N)ccc2,1.339,177.053826,3,1,20,91.74,1,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
NNaO2,[Na+].O=N[O-],0.38,68.982673,0,0,4,52.49,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
Cl2Hg,[Hg](Cl)Cl,1.161,271.908348,0,0,3,0.0,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C22H24N2O10,O=C(O)CN(c1c(OCCOc2c(N(CC(=O)O)CC(=O)O)cccc2)cccc1)CC(=O)O,1.61,476.143095,4,10,58,174.14,19,0,0,2,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C8N8O16,O=[N+]([O-])C12C3([N+](=O)[O-])C4([N+](=O)[O-])C5([N+](=O)[O-])C3([N+](=O)[O-])C1([N+](=O)[O-])C5(C24[N+](=O)[O-])[N+](=O)[O-],-2.744,463.943226,0,0,32,345.12,16,0,1,2,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H21NO,O(C(c1ccccc1)c2ccccc2)CCN(C)C,3.158,255.162314,0,2,40,12.47,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C2H3ClO2,ClCC(=O)O,0.157,93.982157,1,2,8,37.3,3,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C15H12N2O2,O=C1c2c(N(C(=O)N)c3c(C1)cccc3)cccc2,1.49,252.089878,1,4,31,63.4,0,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
Cl4Si,Cl[Si](Cl)(Cl)Cl,2.87,167.852337,0,0,5,0.0,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C22H23ClN2O2,Clc1cc2c(C(c3ncccc3CC2)=C4CCN(C(=O)OCC)CC4)cc1,3.817,382.144806,0,4,50,42.43,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C18H18ClN3O,Clc1cc2C(=Nc3ccccc3Oc2cc1)N4CCN(C)CC4,3.754,327.11384,0,3,41,28.07,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C9H11N,N[C@H]1[C@H](c2ccccc2)C1,1.357,133.089149,1,1,21,26.02,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C8H8,C12C3C4C5C3C1C5C24,2.704,104.0626,0,0,16,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C27H44O6,O=C1C=C2[C@@]3(O)[C@@]([C@@H]([C@@H]([C@H](O)CCC(O)(C)C)C)CC3)(CC[C@@H]2[C@@]4([C@H]1C[C@@H](O)[C@H](C4)O)C)C,1.959,464.313789,5,6,77,118.22,15,0,1,1,✅ Pass,❌ Fail,❌ Fail,✅ Pass,❌ Fail
C16H20FN3O4,Fc1c(N2CCOCC2)ccc(c1)N3C(=O)O[C@H](C3)CNC(=O)C,1.006,337.143784,1,7,44,71.11,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C17H20N2O6S,S1C([C@H](C(=O)O)N2[C@H]1[C@H](NC(=O)c3c(OC)cccc3OC)C2=O)(C)C,1.51,380.104207,2,6,46,130.47,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C92H150N22O25,O=C(N1C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CO)Cc2ccccc2)CCC(=O)N)CCC(=O)O)(C)C)(C)C)C(C)C)CCC1)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3N(C(=O)C(NC(=O)C)(C)C)CCC3)(C)C)C)(C)C)C)CCC(=O)N)(C)C)C(C)C)(C)C)CC(C)C)(C)C,-4.314,1963.114248,22,47,289,708.13,80,3,3,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C92H150N22O25,O=C(N1[C@H](C(=O)N[C@H](C(=O)NC(C(=O)NC(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](CO)Cc2ccccc2)CCC(=O)N)CCC(=O)O)(C)C)(C)C)C(C)C)CCC1)C(NC(=O)[C@@H](NC(=O)CNC(=O)C(NC(=O)[C@@H](NC(=O)C(NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(NC(=O)[C@@H](NC(=O)C(NC(=O)[C@H]3N(C(=O)C(NC(=O)C)(C)C)CCC3)(C)C)C)(C)C)C)CCC(=O)N)(C)C)C(C)C)(C)C)CC(C)C)(C)C,-4.314,1963.114248,22,47,289,708.13,80,3,3,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C4H7NO2,O=C(O)C1(N)CC1,-3.054,101.047678,2,3,14,63.32,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C3H7NO2,O=C(O)CNC,-0.794,89.047678,2,3,13,49.33,4,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C10H14BrNO2,Brc1c(OC)cc(CCN)c(c1)OC,1.93,259.020791,1,1,28,44.48,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C9H15N5O,[O-][n+]1c(nc(N2CCCCC2)cc1N)N,2.895,209.12766,2,4,30,95.11,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C18H24N4O,O=C(N[C@@H]1C[C@H]2N(C)[C@@H](C1)CCC2)c3nn(C)c4c3cccc4,2.61,312.195011,1,4,47,50.16,4,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C13H21NO2S,S(c1c(OC)cc(CCN)c(c1)OC)CCC,2.59,255.1293,1,1,38,69.78,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C10H12N5O7P,P1(=O)(O[C@H]2[C@@H](O)[C@H](n3c4[nH]c(nc(c4nc3)=O)N)O[C@@H]2CO1)O,-1.228,345.047434,4,9,35,184.62,4,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C12H19NO2,O(c1c(cc(OC)c(c1)CC)CCN)C,1.822,209.141579,1,1,34,44.48,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
Cl3Fe,[Fe](Cl)(Cl)Cl,1.947,160.841496,0,0,4,0.0,3,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
AgI,I[Ag],1.05,233.80957,0,0,2,0.0,1,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C10H12N2,[nH]1c2c(cccc2)c(c1)CCN,1.41,160.100048,2,1,24,41.81,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C21H27NO3,O=C(c1c(OCC(O)CNCCC)cccc1)CCc2ccccc2,3.235,341.199094,2,3,52,58.56,13,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C10H13NO2,O=C(Nc1ccc(OCC)cc1)C,1.614,179.094629,1,2,26,38.33,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
F6S,S(F)(F)(F)(F)(F)F,2.25,145.96249,0,0,7,0.0,6,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C16H9N4Na3O9S2,S(=O)(=O)([O-])c1ccc(/N=N/c2c(O)n(-c3ccc(S(=O)(=O)[O-])cc3)nc2C(=O)[O-])cc1.[Na+].[Na+].[Na+],0.932,533.950403,1,11,43,234.06,10,2,1,1,❌ Fail,❌ Fail,❌ Fail,✅ Pass,❌ Fail
H2O,O[2H],-0.467,18.010565,1,1,3,0.0,0,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
ClO2,Cl(=O)=O,-0.286,66.958682,0,2,3,34.14,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
ClO2,Cl(=O)[O],0.195,66.958682,0,2,3,17.07,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
B2Mg,[Mg].[B].[B],0.0,46.003653,0,0,3,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H19NO2S,S(c1c(OC)cc(CCN)c(c1)OC)CC,2.232,241.11365,1,1,35,69.78,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C27H28Br2O5S,Brc1c(O)c(cc(c1C)C2(OS(=O)(=O)c3c2cccc3)c4c(c(Br)c(O)c(c4)C(C)C)C)C(C)C,7.438,622.002419,2,3,63,92.21,14,2,2,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C13H21NO3,Oc1c(cc(C(O)CNC(C)(C)C)cc1)CO,1.44,239.152144,4,3,38,72.72,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C4H6,C(C=C)=C,1.956,54.04695,0,0,10,0.0,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C19H26O2,O=C1C=C2[C@]([C@@H]3[C@H]([C@H]4[C@](C(=O)CC4)(C)CC3)CC2)(C)CC1,3.028,286.19328,0,2,47,34.14,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C15H12I3NO4,Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(c1)C[C@H](N)C(=O)O,2.9,650.790052,3,3,35,92.78,11,1,1,1,✅ Pass,❌ Fail,❌ Fail,✅ Pass,❌ Fail
GaN,[Ga]#N,0.0,82.928648,0,1,2,23.79,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C19H30O2,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@H](C[C@H](O)CC4)CC3)C)CC2)CC1)C,4.3,290.22458,1,2,51,37.3,3,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C112H179N35O46,O=C(NCC(=O)NC(C(=O)NCC(=O)NCC(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(=O)O)CCC(=O)N)CCC(=O)O)CC(C)C)C)CC(C)C)CCC(=O)N)CC(C)C)C)C1N(C(=O)CNC(=O)CNC(=O)CNC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(N)CCC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)N)C(C)C)CCC(=O)N)CCC(=O)O)CC(C)C)CCC1,-20.623,2750.274343,40,81,372,1286.39,114,3,3,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C21H30O4,O=C1C=C2[C@]([C@H]3[C@@H](O)C[C@@]4([C@@H](C(=O)CO)CC[C@H]4[C@@H]3CC2)C)(C)CC1,1.704,346.214409,2,4,55,74.6,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C27H44O,O[C@@H]1C/C(/C(=C)CC1)=C\C=C/2\[C@H]3[C@@]([C@@H]([C@@H](CCCC(C)C)C)CC3)(CCC2)C,9.896,384.339216,1,1,72,20.23,11,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C28H44O,O[C@@H]1C/C(/C(=C)CC1)=C\C=C/2\[C@H]3[C@@]([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC3)(CCC2)C,9.88,396.339216,1,1,73,20.23,11,1,2,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C18H22O2,O=C1[C@@]2([C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)C,3.625,270.16198,1,1,42,37.3,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
FeO,[Fe]=O,-0.399,71.929852,0,1,2,17.07,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C9H13N,N[C@H](Cc1ccccc1)C,1.762,135.104799,1,1,23,26.02,4,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C22H28O6,O=C1C(OC)=C[C@@H](C)[C@H]2[C@]1([C@H]3C(=O)C(OC)=C(C)[C@H]4[C@@]3([C@H](OC(=O)C4)C2)C)C,1.605,388.188589,0,6,56,78.9,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C6H12N2O4S,S(C[C@H](N)C(=O)O)C[C@H](N)C(=O)O,-3.567,208.051778,4,6,25,151.94,10,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C143H230N42O37S7,S1[C@@H]([C@H](NC(=O)[C@H](NC(=O)[C@@H]2NC(=O)CNC(=O)[C@H]3CCCN3C([C@H]([C@H](SC2)C)NC(=O)[C@@H]4NC(=O)[C@H](NC(=O)C(NC(=O)[C@H](NC([C@H](CSC4)NC(=O)/C(/NC(=O)[C@H](N)[C@@H](CC)C)=C/C)=O)[C@@H](CC)C)=C)CC(C)C)=O)CCCCN)C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(N[C@@H](C(NCC(N[C@H](C1)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H]5C(=O)N[C@@H](C(=O)N[C@H]6[C@H](SC[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C(=O)N[C@@H](C(=O)O)CCCCN)=C)C(C)C)Cc7[nH]cnc7)[C@@H](CC)C)CO)NC([C@H](NC([C@@H](CS[C@@H]5C)NC6=O)=O)Cc8[nH]cnc8)=O)C)C)CCCCN)CCSC)CC(=O)N)=O)=O)CCSC)=O)C)C,-0.444,3351.545203,41,77,459,1390.67,94,3,3,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C3H5NO2,O=C(O)C(N)=C,-2.446,87.032028,2,3,11,63.32,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
CuO4S,[Cu+2].S(=O)(=O)([O-])[O-],-1.764,158.881327,0,4,6,88.64,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H11ClN2O5S,Clc1c(S(=O)(=O)N)cc(C(=O)O)c(c1)NCc2occc2,1.2,330.00772,3,6,32,131.01,8,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
Ca2O4Si,[Ca+2].[Ca+2].[Si]([O-])([O-])([O-])[O-],-1.868,171.881767,0,4,7,92.24,4,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C19H27NO,Oc1cc2c(C[C@H]3N(CC=C(C)C)CC[C@@]2([C@H]3C)C)cc1,3.694,285.209264,1,1,48,23.47,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C9H17NO2,O=C(O)CC1(CCCCC1)CN,1.391,171.125929,2,3,29,63.32,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
KMnO4,[Mn](=O)(=O)(=O)[O-].[K+],-1.197,157.88141,0,4,6,74.27,1,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H3BrN2O2,Brc1c(=O)[nH]c(=O)[nH]c1,0.619,189.937789,2,0,12,65.72,1,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C3H7N3O2,O=NN(C(=O)N)CC,-0.739,117.053826,1,3,15,75.76,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
Ag2S,[Ag+].[Ag+].[S-2],0.0,245.782265,0,0,3,0.0,0,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H4O2,O=Cc1occc1,0.418,96.021129,0,1,11,30.21,1,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C3HN,N#CC#C,0.303,51.010899,0,1,5,23.79,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C4H11NO3,OCC(N)(CO)CO,-2.662,121.073893,4,4,19,86.71,7,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C12H18O,Oc1c(cccc1C(C)C)C(C)C,4.004,178.135765,1,0,31,20.23,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
C15H21IN2O3,Ic1c(O)c(c(OC)cc1)C(=O)NC[C@H]2N(CCC2)CC,3.681,404.059691,2,3,42,61.8,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
O4SZn,[Zn+2].S(=O)(=O)([O-])[O-],-1.764,159.880872,0,4,6,88.64,2,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C17H25NO3,O=C(OCCN(C)C)C(c1ccccc1)C2(O)CCCC2,2.387,291.183444,1,4,46,49.77,10,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C14H11N3O3S,s1c(C(=O)c2cc3[nH]c(NC(=O)OC)nc3cc2)ccc1,2.279,301.052112,2,5,32,112.32,5,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C10H11N,n1(c2c(cccc2)c(c1)C)C,2.66,145.089149,0,0,22,4.93,2,0,1,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C4H4S,s1cccc1,1.459,84.003371,0,0,9,28.24,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C23H22O6,O=C1c2c(O[C@H]3[C@@H]1c4c(OC3)cc(OC)c(c4)OC)c5c(O[C@H](C5)C(=C)C)cc2,2.558,394.141638,0,1,51,63.22,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C4H10N3O5P,P(=O)(O)(O)/N=C(/N(CC(=O)O)C)\N,-4.184,211.035807,4,8,23,146.26,9,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C4H10N3O5P,P(=O)(O)(O)NC(=N)N(CC(=O)O)C,-1.523,211.035807,5,8,23,143.76,9,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
Cu2O,[Cu]O[Cu],0.084,141.85411,0,1,3,9.23,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
Cu2O,[Cu+].[Cu+].[O-2],0.0,141.85411,0,1,3,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C30H31ClN6,[Cl-].[n+]1(c2c(nc3c1cc(N(CC)CC)cc3)ccc(c2)/N=N/c4ccc(N(C)C)cc4)-c5ccccc5,9.533,510.229873,0,5,68,47.97,11,2,2,1,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C24H30N2O2,O=C1N(CC(C1(c2ccccc2)c3ccccc3)CCN4CCOCC4)CC,3.591,378.230728,0,4,58,32.78,7,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
AlH4Li,[AlH4-].[Li+],0.0,38.028843,0,0,6,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C20H12O5,O=C1OC2(c3c(Oc4c2ccc(c4)O)cc(O)cc3)c5c1cccc5,3.835,332.068473,2,2,37,75.99,2,0,0,0,✅ Pass,✅ Pass,✅ Pass,❌ Fail,❌ Fail
I,[I-],1.05,126.904473,0,0,1,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C17H27NO2,O(c1ccc(C(C2(O)CCCCC2)CN(C)C)cc1)C,2.829,277.204179,1,2,47,32.7,9,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
HNa,[Na+].[H-],0.0,23.997594,0,0,2,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
InP,[In]#P,0.0,145.87764,0,0,2,0.0,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C6H12O6,O=C([C@@H](O)[C@H](O)[C@@H](O)CO)CO,-3.839,180.063388,5,6,24,118.22,10,0,1,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C2H2O4,O=C(O)C(=O)O,-0.688,89.995309,2,4,8,74.6,3,0,3,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C5H6N,[nH+]1ccccc1,1.808,80.050024,1,0,12,14.14,0,0,2,0,✅ Pass,❌ Fail,✅ Pass,✅ Pass,❌ Fail
C27H38N2O4,O(c1c(OC)ccc(c1)C(C#N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)C,4.967,454.283158,0,2,71,63.95,20,0,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H19N3,n1c2N3C(c4ccccc4Cc2ccc1)CN(C)CC3,3.016,265.157898,0,3,39,19.37,1,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
C6H8N2,Nc1ccc(N)cc1,0.388,108.068748,2,2,16,52.04,2,0,2,0,✅ Pass,❌ Fail,✅ Pass,❌ Fail,❌ Fail
C23H22ClF3O2,Cl/C(=C\[C@H]1C(C)(C)[C@H]1C(=O)OCc2c(c(-c3ccccc3)ccc2)C)/C(F)(F)F,7.192,422.126042,0,2,51,26.3,14,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C23H22ClF3O2,Cl/C(=C/C1C(C)(C)C1C(=O)OCc2c(c(-c3ccccc3)ccc2)C)/C(F)(F)F,7.192,422.126042,0,2,51,26.3,14,1,1,1,✅ Pass,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C51H79NO13,O=C1N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@H](O)CC3)C)CC(=O)[C@@H](C=C([C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@@H](C=CC=CC=C([C@H](C[C@H]4O[C@](C1=O)(O)[C@@H](CC4)C)OC)C)C)C)C)CCCC2,4.321,913.555142,3,14,144,195.43,19,2,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C53H83NO14,O=C1N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@H](OCCO)CC3)C)CC(=O)[C@@H](C=C([C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@@H](C=CC=CC=C([C@H](C[C@H]4O[C@](C1=O)(O)[C@@H](CC4)C)OC)C)C)C)C)CCCC2,4.131,957.581356,3,15,151,204.66,22,2,2,2,❌ Fail,❌ Fail,❌ Fail,❌ Fail,❌ Fail
C17H20O6,O=C1OCc2c1c(O)c(c(OC)c2C)C/C=C(/CCC(=O)O)\C,2.208,320.125988,2,4,43,93.06,11,0,0,1,✅ Pass,✅ Pass,❌ Fail,✅ Pass,❌ Fail
C21H26O5,O=C1C=C2[C@]([C@H]3C(=O)C[C@@]4([C@@](O)(C(=O)CO)CC[C@H]4[C@@H]3CC2)C)(C)C=C1,0.608,358.178024,2,5,52,91.67,6,0,0,0,✅ Pass,✅ Pass,✅ Pass,✅ Pass,✅ Pass
